Year Total JFM AMJ JAS OND
1969 10 1.00 0.60 0.40 0.80
1970 17 0.30 0.00 -0.80 -0.90
1971 16 -1.30 -0.80 -0.80 -1.00
1972 12 -0.40 0.50 1.30 2.00
1973 19 1.20 -0.60 -1.30 -2.00
1974 16 -1.70 -0.90 -0.50 -0.90
1975 16 -0.60 -0.90 -1.30 -1.70
1976 13 -1.20 -0.50 0.30 0.80
1977 9 0.50 0.20 0.40 0.70
1978 11 0.40 -0.40 -0.40 -0.20
1979 14 0.00 0.10 0.10 0.50
1980 14 0.30 0.30 0.00 0.00
1981 15 -0.50 -0.30 -0.40 -0.10
1982 7 0.10 0.60 1.00 2.20
1983 20 2.00 1.00 -0.20 -0.90
1984 17 -0.20 -0.50 -0.20 -0.90
1985 15 -0.80 -0.70 -0.50 -0.30
1986 7 -0.40 -0.10 0.50 1.10
1987 5 1.30 1.00 1.60 1.30
1988 13 0.50 -0.70 -1.20 -1.90
1989 13 -1.50 -0.60 -0.30 -0.20
1990 10 0.20 0.20 0.30 0.30
1991 10 0.30 0.60 0.90 1.40
1992 7 1.60 1.20 0.20 0.00
1993 11 0.40 0.80 0.40 0.30
1994 6 0.20 0.50 0.60 1.20
1995 13 0.90 0.30 -0.20 -0.70
1996 15 -0.70 -0.10 -0.10 -0.30
1997 10 -0.30 0.80 2.00 2.50
1998 14 1.90 0.50 -0.80 -1.30
1999 12 -1.20 -0.80 -0.90 -1.30
2000 8 -1.40 -0.60 -0.40 -0.60
2001 10 -0.50 -0.10 0.20 -0.10
2002 7 0.10 0.70 1.00 1.50
2003 10 0.90 -0.10 0.50 0.60
2004 10 0.30 0.30 0.80 0.80
2005 12 0.50 0.40 0.30 -0.40
