consultas quejas residente sexo ingresos horas
2014.00 2.00 Si M 263.03 1287.25
3091.00 3.00 No H 334.94 1588.00
879.00 1.00 Si H 206.42 705.25
1780.00 1.00 No H 226.32 1005.50
3646.00 11.00 No H 288.91 1667.25
2690.00 1.00 No H 275.94 1517.75
1864.00 2.00 Si H 295.71 967.00
2782.00 6.00 No H 224.91 1609.25
3071.00 9.00 No M 249.32 1747.75
1502.00 3.00 Si H 269.00 906.25
2438.00 2.00 No M 225.61 1787.75
2278.00 2.00 No H 212.43 1480.50
2458.00 5.00 No H 211.05 1733.50
2269.00 2.00 No M 213.23 1847.25
2431.00 7.00 No H 257.30 1433.00
3010.00 2.00 Si H 326.49 1520.00
2234.00 5.00 Si H 290.53 1404.75
2906.00 4.00 No H 268.73 1608.50
2043.00 2.00 Si H 231.61 1220.00
3022.00 7.00 No H 241.04 1917.25
2123.00 5.00 No M 238.65 1506.25
1029.00 1.00 Si M 287.76 589.00
3003.00 3.00 Si M 280.52 1552.75
2178.00 2.00 No H 237.31 1518.00
2504.00 1.00 Si M 218.70 1793.75
2211.00 1.00 No M 250.01 1548.00
2338.00 6.00 Si H 251.54 1446.00
3060.00 2.00 Si H 270.52 1858.25
2302.00 1.00 No H 247.31 1486.25
1486.00 1.00 Si M 277.78 933.75
1863.00 1.00 Si H 259.68 1168.25
1661.00 0.00 No H 260.92 877.25
2008.00 2.00 No H 240.22 1387.25
2138.00 2.00 No H 217.49 1312.00
2556.00 5.00 No H 250.31 1551.50
1451.00 3.00 Si M 229.43 973.75
3328.00 3.00 Si H 313.48 1638.25
2927.00 8.00 No H 293.47 1668.25
2701.00 8.00 No H 275.40 1652.75
2046.00 1.00 Si H 289.56 1029.75
2548.00 2.00 Si H 305.67 1127.00
2592.00 1.00 No H 252.35 1547.25
2741.00 1.00 Si M 276.86 1499.25
3763.00 10.00 Si H 308.84 1747.50
