y x1 x2 x3 x4
79.30 5.50 31 10 8
200.10 2.50 55 8 6
163.20 8.00 67 12 9
200.10 3.00 50 7 16
146.00 3.00 38 8 15
177.70 2.90 71 12 17
30.90 8.00 30 12 8
291.90 9.00 56 5 10
160.00 4.00 42 8 4
339.40 6.50 73 5 16
159.60 5.50 60 11 7
86.30 5.00 44 12 12
237.50 6.00 50 6 6
107.20 5.00 39 10 4
155.00 3.50 55 10 4
291.40 8.00 70 6 14
100.20 6.00 40 11 6
135.80 4.00 50 11 8
223.30 7.50 62 9 13
195.00 7.00 59 9 11
73.40 6.70 53 13 5
47.70 6.10 38 13 10
140.70 3.60 43 9 17
93.50 4.20 26 8 3
259.00 4.50 75 8 19
331.20 5.60 71 4 9
